date,return
2000-07-04,0.0032384798683100513
2000-07-05,0.0003173140398586849
2000-07-06,0.002772191373895838
2000-07-07,0.005617196476814801
2000-07-10,0.0051982427478516335
2000-07-11,0.0036204235380383754
2000-07-12,0.005160717600492637
2000-07-13,-0.0022569709050196396
2000-07-14,0.0018148800070765247
2000-07-17,0.0004712868300420503
2000-07-18,-0.005898047838458931
2000-07-19,0.0014864795233782147
2000-07-20,0.003032418716532037
2000-07-21,-0.0016665445375230181
2000-07-24,0.00020918360331823038
2000-07-25,-0.0019062088629947516
2000-07-26,-0.003729495213177003
2000-07-27,-0.0022750462132200555
2000-07-28,-0.004024396771894034
2000-07-31,0.000587729828021466
2000-08-01,0.004261681437188747
2000-08-02,0.003875397912975753
2000-08-03,-0.004201865135282645
2000-08-04,0.004692451113776475
2000-08-07,0.008023116203634384
2000-08-08,-0.00033118306882629067
2000-08-09,0.0013087115803354088
2000-08-10,0.00018832229295773217
2000-08-11,0.0032758709731353086
2000-08-14,0.00687485111565822
2000-08-15,0.0024708996600337763
2000-08-16,0.005586669330701621
2000-08-17,8.335957032512553e-05
2000-08-18,-0.0003415340201345929
2000-08-21,0.0035138956036269153
2000-08-22,0.0055315605762542575
2000-08-23,-0.0018081355279454536
2000-08-24,-0.0023416306292870503
2000-08-25,0.001519748853620717
2000-08-28,0.002580706159133639
2000-08-29,-0.000389098725280812
2000-08-30,-0.0016518551333798426
2000-08-31,-0.0011876015224911995
2000-09-01,0.005643140738358587
2000-09-04,0.003976273741223446
2000-09-05,-0.00026595322816447275
2000-09-06,-0.001299942548659061
2000-09-07,-0.0014019438980741317
2000-09-08,-0.0005678118693507317
2000-09-11,-0.004614416582509828
2000-09-12,-0.0033183391214701707
2000-09-13,-0.0008303692056770284
2000-09-14,0.0010140575258470452
2000-09-15,-0.006049934386182287
2000-09-18,-0.008219514771182213
2000-09-19,-0.0030240422976635095
2000-09-20,-0.001115077162493705
2000-09-21,-0.007867233258554762
2000-09-22,-0.006720901524530198
2000-09-25,0.00846711810957479
2000-09-26,-0.0010651517234117058
2000-09-27,0.00039805177204388364
2000-09-28,0.0044926007022194625
2000-09-29,0.005411030917843229
2000-10-02,0.0032617271245707347
2000-10-03,0.0038178696742828594
2000-10-04,-0.00047896500873345627
2000-10-05,0.0015187293949927572
2000-10-06,-0.004551131157182975
2000-10-09,-0.011101289329846109
2000-10-10,-0.0027748193370991103
2000-10-11,-0.013934940915976912
2000-10-12,-0.003188522739280941
2000-10-13,-0.0017012156003554102
2000-10-16,0.0041331701233662255
2000-10-17,-0.009554274609866464
2000-10-18,-0.012376895088341944
2000-10-19,0.011489977039518484
2000-10-20,0.01089937360266946
2000-10-23,0.003936919364257552
2000-10-24,0.005848786007124129
2000-10-25,-0.004358572452220599
2000-10-26,0.0004761273233679919
2000-10-27,0.0024295054345186973
2000-10-30,0.0019588329875224186
2000-10-31,0.009176486556723873
2000-11-01,0.00971588221869335
2000-11-02,0.004408204222067447
2000-11-03,0.0012124456731033018
2000-11-06,0.0061327162169824145
2000-11-07,-0.00020616653678640073
2000-11-08,-0.002343235629910123
2000-11-09,-0.005294728186600373
2000-11-10,-0.0070402873604120675
2000-11-13,-0.013750656347233825
2000-11-14,0.011055186941567818
2000-11-15,0.0019399147536816042
2000-11-16,-0.0022741576259103224
2000-11-17,-0.0012435321059359739
2000-11-20,-0.004910504959009354
2000-11-21,-0.0006330781722101442
2000-11-22,-0.012790548175194316
2000-11-23,0.0003275972571521457
2000-11-24,0.005838503801578909
2000-11-27,0.007443281880347374
2000-11-28,-0.004547585065556636
2000-11-29,-0.0032267587607367476
2000-11-30,-0.010020186099461759
2000-12-01,0.004927328507317474
2000-12-04,-0.0024920871371686415
2000-12-05,0.008868054174582252
2000-12-06,0.00440237634578966
2000-12-07,-0.0018105310102550787
2000-12-08,0.007151495595355106
2000-12-11,0.008261639489588246
2000-12-12,-0.00223491100351636
2000-12-13,0.00014100746813006104
2000-12-14,-0.00881702851436894
2000-12-15,-0.011253969358546723
2000-12-18,0.0035824797136148057
2000-12-19,-4.217597043043586e-05
2000-12-20,-0.011603383754278385
2000-12-21,-0.003998884976097794
2000-12-22,0.005961574153385607
2000-12-25,0.003154248422582606
2000-12-26,0.0007153787197764494
2000-12-27,0.008881161272632054
2000-12-28,0.004828607559694831
2000-12-29,0.0015614452199550488
2001-01-01,4.564522143013505e-05
2001-01-02,-0.004555610755077191
2001-01-03,-0.004280027318238622
2001-01-04,0.011771381414492854
2001-01-05,0.0026017581250001864
2001-01-08,-0.00022397253078065837
2001-01-09,-0.005099202979333195
2001-01-10,-0.0010582371518237377
2001-01-11,-0.0004209103695614891
2001-01-12,0.00480950930242785
2001-01-15,0.00330438675247402
2001-01-16,-0.0012951662805424924
2001-01-17,0.00664641878755301
2001-01-18,0.004214457657089943
2001-01-19,0.00393255761430078
2001-01-22,0.0010629913442292693
2001-01-23,-0.0003524308923446018
2001-01-24,0.0016265643772581662
2001-01-25,0.0001357852855323749
2001-01-26,-0.001382142414823262
2001-01-29,0.0034057400749532007
2001-01-30,0.0044070354301686265
2001-01-31,0.0026934238313705006
2001-02-01,0.0009237027378430351
2001-02-02,-0.0018494712849760342
2001-02-05,-0.00307723686164163
2001-02-06,0.0020577276603848116
2001-02-07,-0.002215128716888004
2001-02-08,-0.0019448636835883715
2001-02-09,-0.000995009175343342
2001-02-12,0.004235876118444892
2001-02-13,-0.0013021594169418949
2001-02-14,-0.005057835699483482
2001-02-15,0.0029984500109541123
2001-02-16,-0.006370074502492162
2001-02-19,0.00034372790310244206
2001-02-20,-0.0012042641898797335
